chanel_cd,店舗名称,法人コード,店舗属性,chanel_gp
14,有楽町店,1,法人,その他
89,ＢＩＣ楽天市場店,1,EC,楽天
94,BicEC,1,EC,自社EC
117,赤坂見附駅店,1,法人,その他
806,法人第１グループ,1,法人,その他
808,法人第３グループ,1,法人,その他
809,法人第４グループ,1,法人,その他
842,モバイル,1,EC,自社EC
845,ＢＩＣアマゾン店,1,EC,Amazon
846,楽天ビック,1,EC,楽天
855,法人赤坂見附駅店,1,法人,その他
874,法人名古屋,1,法人,その他
876,法人なんば,1,法人,その他
879,法人ドットコム,1,法人,その他
240,ソフマップアマゾン店,3,EC,Amazon
253,ソフマップ楽天,3,EC,楽天
254,アキバソフマップ,3,EC,自社EC
256,デジタルコレクション,3,EC,楽天
259,ドットコムY！SHP,3,EC,Yahoo!
268,ソフマップ法人WEB用,3,法人,その他
281,ソフマップ法人,3,法人,その他
289,ソフマップドットコム,3,EC,自社EC
293,ソフマップコム法人,3,法人,その他
331,ソフマップ法人関西,3,法人,その他
480,コジマダイレクトＳＰ,6,EC,自社EC
485,コジマWowma！店,6,EC,Wowma!
490,KB西友二俣川,6,法人,その他
499,KBﾍﾞﾙｸｽﾓｰﾙ浮間舟渡店,6,法人,その他
505,NEW弘前店,6,法人,その他
511,KB泉中央店,6,法人,その他
513,KBイオンモール名取店,6,法人,その他
514,KB卸団地店,6,法人,その他
518,NEW白河店,6,法人,その他
519,KB郡山店,6,法人,その他
520,KB会津若松店,6,法人,その他
522,KB福島店,6,法人,その他
523,KB方木田店,6,法人,その他
524,NEW学園都市店,6,法人,その他
531,KB駒生店,6,法人,その他
532,KB鹿沼店,6,法人,その他
533,NEW足利店,6,法人,その他
539,NEW真岡店,6,法人,その他
540,KB日光店,6,法人,その他
541,KB黒磯店,6,法人,その他
542,KBさくら店,6,法人,その他
543,コジマネット,6,EC,自社EC
548,NEW伊勢崎店,6,法人,その他
549,KB高崎店,6,法人,その他
553,KB深作店,6,法人,その他
556,KB和光店,6,法人,その他
557,KB南越谷店,6,法人,その他
560,NEW久喜,6,法人,その他
562,NEW与野店,6,法人,その他
564,KB浦和店,6,法人,その他
566,KB越谷店,6,法人,その他
567,KB熊谷店,6,法人,その他
569,KB上尾　春日店,6,法人,その他
571,KB春日部店,6,法人,その他
572,KB所沢店,6,法人,その他
574,KBアクロスプラザ三芳店,6,法人,その他
579,KB柏店,6,法人,その他
580,KB松戸店,6,法人,その他
581,KB船橋店,6,法人,その他
582,KB習志野店,6,法人,その他
586,SELECT上板橋店,6,法人,その他
588,KB小平店,6,法人,その他
591,KB港北東急SC店,6,法人,その他
593,KB江戸川店,6,法人,その他
595,KB井草店,6,法人,その他
598,KB若林店,6,法人,その他
599,KB志村店,6,法人,その他
602,KB新小岩店,6,法人,その他
603,KB三鷹店,6,法人,その他
604,KB池上店,6,法人,その他
605,KB善福寺店,6,法人,その他
606,KB葛飾店,6,法人,その他
607,KB東村山店,6,法人,その他
608,KB江北駅前店,6,法人,その他
609,KB南砂町SUNAMO店,6,法人,その他
611,KB西東京店,6,法人,その他
612,KB足立加平店,6,法人,その他
613,KBイオン昭島SC店,6,法人,その他
615,KB成城店,6,法人,その他
616,KB港北インター店,6,法人,その他
618,KB厚木栄町店,6,法人,その他
620,KB海老名店,6,法人,その他
622,KB横須賀店,6,法人,その他
623,KB相模原店,6,法人,その他
624,KB座間店,6,法人,その他
626,KB横浜大口店,6,法人,その他
628,KB東海大学東店,6,法人,その他
629,KB新潟店,6,法人,その他
630,NEW上越店,6,法人,その他
632,NEW甲府,6,法人,その他
633,KB甲府バイパス店,6,法人,その他
634,KB富山店,6,法人,その他
635,KBファボーレ富山店,6,法人,その他
637,KB静岡店,6,法人,その他
638,KB浜松店,6,法人,その他
640,KB沼津店,6,法人,その他
641,KB富士店,6,法人,その他
642,KB熱田店,6,法人,その他
645,KB有松インター店,6,法人,その他
646,KB清洲東インター店,6,法人,その他
652,KB高野店,6,法人,その他
653,KB箕面店,6,法人,その他
654,KB茨木店,6,法人,その他
656,NEW生野店,6,法人,その他
661,KB大東店,6,法人,その他
662,KB名谷店,6,法人,その他
667,神戸ハーバーランド店,6,法人,その他
673,KB宇品店,6,法人,その他
675,KB広島インター緑井店,6,法人,その他
676,NEW山口宇部空港店,6,法人,その他
681,KB福岡春日店,6,法人,その他
682,KB福岡西店,6,法人,その他
683,KB小倉店,6,法人,その他
684,KB熊本店,6,法人,その他
687,KB那覇店,6,法人,その他
711,KB宇都宮本店,6,法人,その他
731,KB八王子高倉店,6,法人,その他
736,コジマ楽天市場店,6,EC,楽天
737,コジマＹａｈｏｏ！店,6,EC,Yahoo!
738,コジマアマゾン店,6,EC,Amazon
741,KBイオンモール堺鉄砲町店,6,法人,その他
746,KB西友ひばりヶ丘店,6,法人,その他
754,北関東法人事業所,6,法人,その他
755,仙台法人事業所,6,法人,その他
756,東京法人事業所,6,法人,その他
757,大阪法人事業所,6,法人,その他
758,福岡法人事業所,6,法人,その他
772,札幌法人事業所,6,法人,その他
491,#N/A_6,#N/A,#N/A,その他
807,#N/A_3,#N/A,#N/A,その他
823,#N/A_7,#N/A,#N/A,その他
865,#N/A_5,#N/A,#N/A,その他
877,#N/A_2,#N/A,#N/A,その他
878,#N/A_1,#N/A,#N/A,その他
880,#N/A_4,#N/A,#N/A,その他
487,KB APITA四日市店,6,法人,その他
521,KBいわき店,6,法人,その他
535,KB栃木店,6,法人,その他
538,KB佐野店,6,法人,その他
552,NEW川越インター店,6,法人,その他
558,KB所沢西店,6,法人,その他
585,NEW成田店,6,法人,その他
589,NEW高島平店,6,法人,その他
590,KB豊玉店,6,法人,その他
594,KB東大和店,6,法人,その他
596,KB用賀店,6,法人,その他
621,KB梶ヶ谷店,6,法人,その他
625,KB橋本店,6,法人,その他
639,NEW静岡有明店,6,法人,その他
647,KB鳴海店,6,法人,その他
651,KB四日市店,6,法人,その他
680,KB八幡店,6,法人,その他
804,#N/A_8,#N/A,#N/A,その他
871,#N/A_9,#N/A,#N/A,その他
