store_cd,item_cd
861,4006381360692 
861,4007817334010 
861,4007817334140 
861,4547597815496 
861,4547597975398 
861,4895028514921 
861,4901427200133 
861,4901427241648 
861,4901480233314 
861,4901480287430 
861,4901681347100 
861,4901681347209 
861,4901681368600 
861,4901681405701 
861,4901681407118 
861,4901681407606 
861,4901681416707 
861,4901681416721 
861,4901681417100 
861,4901681512102 
861,4901881267130 
861,4901881267147 
861,4901991052862 
861,4901991054514 
861,4901991060867 
861,4901991060874 
861,4901991060881 
861,4901991641677 
861,4901991641684 
861,4902505296703 
861,4902505296710 
861,4902505337567 
861,4902505337574 
861,4902505337581 
861,4902505337598 
861,4902505337604 
861,4902505337611 
861,4902505337628 
861,4902505371523 
861,4902505371530 
861,4902505371547 
861,4902505377532 
861,4902505414251 
861,4902505414268 
861,4902505431180 
861,4902505465611 
861,4902505465628 
861,4902506125064 
861,4902506141002 
861,4902506141019 
861,4902506141026 
861,4902506141125 
861,4902506141149 
861,4902506142917 
861,4902506162090 
861,4902506175588 
861,4902506185303 
861,4902506185310 
861,4902506185334 
861,4902506185341 
861,4902506227317 
861,4902506301963 
861,4902506301987 
861,4902506301994 
861,4902506340115 
861,4902506340122 
861,4902506340139 
861,4902506340146 
861,4902506381019 
861,4902506381118 
861,4902580509743 
861,4902778014219 
861,4902778119648 
861,4902778124130 
861,4902778124147 
861,4902778133583 
861,4902778138892 
861,4902778138908 
861,4902778138915 
861,4902778138946 
861,4902778138953 
861,4902778138977 
861,4902778139004 
861,4902778147740 
861,4902778147757 
861,4902778147764 
861,4902778147771 
861,4902778147788 
861,4902778147795 
861,4902778147801 
861,4902778147818 
861,4902778147825 
861,4902778147849 
861,4902778147856 
861,4902778147870 
861,4902778154519 
861,4902778172766 
861,4902778172797 
861,4902778174340 
861,4902778175682 
861,4902778175699 
861,4902778184912 
861,4902778653951 
861,4902778692417 
861,4902778692424 
861,4902778692448 
861,4902778692462 
861,4902778692479 
861,4902778974711 
861,4988607500733 
