item,ïÅí ÇÃì˙_åèêî,ïÅí ÇÃì˙_avg,ì¡ì˙_åèêî,ì¡ì˙_ïΩãœîÃîÑêî,t,p
4987306054806.0,74.0,0.9054054054054054,18.0,4.5,-2.247921956377864,0.037638362937661714
4987424170235.0,74.0,0.20270270270270271,18.0,0.0,1.9569271833496051,0.05418056334052243
4987306054790.0,74.0,5.702702702702703,18.0,10.61111111111111,-1.7777164320431813,0.08460544390290647
4988617230200.0,74.0,0.28378378378378377,18.0,0.8333333333333334,-1.7976217732593407,0.08752900508174086
4952040080251.0,74.0,0.3108108108108108,18.0,1.2777777777777777,-1.6996736900322802,0.10549340223876817
4988617208506.0,74.0,0.3783783783783784,18.0,0.9444444444444444,-1.6589045908018172,0.1128504327306763
4988028395550.0,74.0,0.1891891891891892,18.0,0.5555555555555556,-1.6139833595242838,0.12203179653188179
4987312339263.0,74.0,0.0945945945945946,18.0,0.2777777777777778,-1.6082159781803895,0.12308026361043321
4580486629279.0,74.0,0.3783783783783784,18.0,0.8333333333333334,-1.4480720338924782,0.16170849625516492
4987424170624.0,74.0,0.0945945945945946,18.0,0.0,1.3547325027196657,0.17968078478565064
4987312132710.0,74.0,0.013513513513513514,18.0,0.3888888888888889,-1.3894616427266897,0.1825355647500397
4988028398698.0,74.0,0.16216216216216217,18.0,0.7222222222222222,-1.3254539078530159,0.20191943450550073
4968543711400.0,74.0,0.013513513513513514,18.0,0.1111111111111111,-1.2607839572217163,0.22341343711949754
4946842100033.0,74.0,0.05405405405405406,18.0,0.16666666666666666,-1.171485002882621,0.2541292834611305
4987306054776.0,74.0,0.1891891891891892,18.0,0.3888888888888889,-1.0358157226018259,0.31220119265743734
4987306054769.0,74.0,0.08108108108108109,18.0,0.3333333333333333,-1.031155398455096,0.31643562031428984
4987024209113.0,74.0,0.013513513513513514,18.0,0.0,0.9999999999999999,0.3206137979013178
4987243114502.0,74.0,0.013513513513513514,18.0,0.0,0.9999999999999999,0.3206137979013178
4946842100064.0,74.0,0.013513513513513514,18.0,0.0,0.9999999999999999,0.3206137979013178
4987081299225.0,74.0,0.013513513513513514,18.0,0.0,0.9999999999999999,0.3206137979013178
4987243124105.0,74.0,0.013513513513513514,18.0,0.0,0.9999999999999999,0.3206137979013178
4987312339270.0,74.0,0.013513513513513514,18.0,0.0,0.9999999999999998,0.3206137979013178
4987424170617.0,74.0,0.0,18.0,0.05555555555555555,-0.9999999999999999,0.331332762038679
4987110003120.0,74.0,0.013513513513513514,18.0,0.2777777777777778,-0.9502275683459255,0.3552495296128545
4946842100019.0,74.0,2.945945945945946,18.0,4.388888888888889,-0.885250461197528,0.38647009154791845
4987243114014.0,74.0,0.3918918918918919,18.0,1.2222222222222223,-0.7714444836618227,0.45014982668422054
4946842100026.0,74.0,0.013513513513513514,18.0,0.05555555555555555,-0.7353160240144462,0.47110111059812987
4987243114007.0,74.0,0.013513513513513514,18.0,0.05555555555555555,-0.7353160240144462,0.47110111059812987
4988028398568.0,74.0,0.013513513513513514,18.0,0.05555555555555555,-0.7353160240144462,0.47110111059812987
4512223680182.0,74.0,0.02702702702702703,18.0,0.05555555555555555,-0.4859381410412909,0.6320116027615954
4987081299232.0,74.0,0.14864864864864866,18.0,0.2222222222222222,-0.40969832226741737,0.6864015986068679
4987306054783.0,74.0,0.7702702702702703,18.0,0.7222222222222222,0.06217805019487249,0.9505589531953295
4512223680199.0,74.0,0.10810810810810811,18.0,0.1111111111111111,-0.0355626276746922,0.9719101712940496
45144622.0,74.0,0.0,18.0,0.0,,
4946842110919.0,74.0,0.0,18.0,0.0,,
4946842637829.0,74.0,0.0,18.0,0.0,,
4987117398717.0,74.0,0.0,18.0,0.0,,
